"id","longitude","latitude","address","type"
"FaID.0090",-112.06746326,33.4956685147,"4141 N 3RD ST PHOENIX AZ 85012","candidate location"
"FaID.0091",-112.185279592,33.5389045888,"5850 W GLENDALE AVE GLENDALE AZ 85301","candidate location"
"FaID.0092",-112.266303609,33.449745583,"9557 W VAN BUREN ST TOLLESON AZ 85353","candidate location"
"FaID.0093",-111.961199247,33.5816610415,"10460 N 56TH ST PARADISE VALLEY AZ 85253","candidate location"
"FaID.0094",-111.920941131,33.8235218721,"33 EASY ST CAREFREE AZ 85377","candidate location"
"FaID.0095",-111.962773136,33.3628647902,"9201 S AVENIDA DEL YAQUI GUADALUPE AZ 85283","candidate location"
"FaID.0096",-112.055869651,33.4768389162,"1210 E VIRGINIA AVE PHOENIX AZ 85006","candidate location"
"FaID.0097",-111.994772784,33.3387387799,"11832 S WARNER ELLIOT LOOP PHOENIX AZ 85044","candidate location"
"FaID.0098",-111.90155811,33.4668264242,"1700 N GRANITE REEF RD SCOTTSDALE AZ 85257","candidate location"
"FaID.0099",-112.34145539,33.6468338467,"13150 W SPANISH GARDEN DR SUN CITY WEST AZ 85375","candidate location"
"FaID.0100",-111.772567894,33.3908661392,"1350 S LINDSAY RD MESA AZ 85204","candidate location"
"FaID.0101",-111.766453478,33.3642475559,"1141 E GUADALUPE RD GILBERT AZ 85234","candidate location"
"FaID.0102",-112.357659553,33.4873046339,"447 S OLD LITCHFIELD RD LITCHFIELD PARK AZ 85340","candidate location"
"FaID.0103",-111.933756966,33.4004518804,"228 E ALAMEDA DR TEMPE AZ 85282","candidate location"
"FaID.0104",-111.69472757,33.2598462748,"4369 E VILLAGE PKWY GILBERT AZ 85298","candidate location"
"FaID.0105",-112.041147277,33.3759669266,"1925 E BASELINE RD PHOENIX AZ 85042","candidate location"
"FaID.0106",-112.109574158,33.7451837406,"28750 N NORTH VALLEY PKWY PHOENIX AZ 85085","candidate location"
"FaID.0107",-111.780909574,33.4013827429,"2334 E PUEBLO AVE MESA AZ 85204","candidate location"
"FaID.0108",-112.114235457,33.5609467155,"8501 N BLACK CANYON HWY PHOENIX AZ 85021","candidate location"
"FaID.0109",-111.89723281,33.3487747173,"2107 E ELLIOT RD TEMPE AZ 85284","candidate location"
"FaID.0110",-111.761142182,33.4622521659,"2525 N 32ND ST MESA AZ 85213","candidate location"
"FaID.0111",-112.094553362,33.4590883642,"1614 W ROOSEVELT ST PHOENIX AZ 85007","candidate location"
"FaID.0112",-111.884514855,33.3355591094,"2400 W WARNER RD CHANDLER AZ 85224","candidate location"
"FaID.0113",-111.898184288,33.4142243144,"2051 E APACHE BLVD TEMPE AZ 85281","candidate location"
"FaID.0114",-111.823304887,33.4018682439,"720 S MESA DR MESA AZ 85210","candidate location"
"FaID.0115",-112.342569844,33.430586592,"617 E DORIS ST AVONDALE AZ 85323","candidate location"
"FaID.0116",-112.046152125,33.486407449,"1632 E FLOWER ST PHOENIX AZ 85016","candidate location"
"FaID.0117",-111.826117754,33.3657698208,"845 N EL DORADO DR GILBERT AZ 85233","candidate location"
