"id","longitude","latitude","a_weight","b_weight","type","dp_type"
"PID.4000000",-112.078345389,33.4487799292,1607.028,535.676023,"demand point",4
"PID.4000001",-112.220479768,33.5090008536,1607.028,535.676023,"demand point",4
"PID.4000002",-112.012580356,33.4509912846,1607.028,535.676023,"demand point",4
"PID.4000003",-112.100011374,33.4615071585,1607.028,535.676023,"demand point",4
"PID.4000004",-112.021037692,33.4452476879,1607.028,535.676023,"demand point",4
"PID.4000005",-112.346050177,33.4348083772,1607.028,535.676023,"demand point",4
"PID.4000006",-112.074946703,33.5092504305,1607.028,535.676023,"demand point",4
"PID.4000007",-112.08705104,33.4471396969,1607.028,535.676023,"demand point",4
"PID.4000008",-111.845309598,33.4518969928,1607.028,535.676023,"demand point",4
"PID.4000009",-112.091288568,33.4507939569,1607.028,535.676023,"demand point",4
"PID.4000010",-111.880702175,33.5794633488,1607.028,535.676023,"demand point",4
"PID.4000011",-112.275849747,33.537551143,1607.028,535.676023,"demand point",4
"PID.4000012",-112.031895587,33.3792438762,1607.028,535.676023,"demand point",4
"PID.4000013",-112.256415462,33.6512925317,1607.028,535.676023,"demand point",4
"PID.4000014",-111.863992017,33.4302986944,1607.028,535.676023,"demand point",4
"PID.4000015",-112.088481184,33.4452703803,1607.028,535.676023,"demand point",4
"PID.4000016",-112.120243208,33.4412521817,1607.028,535.676023,"demand point",4
"PID.4000017",-112.015313195,33.6556354022,1607.028,535.676023,"demand point",4
"PID.4000018",-112.233710742,33.4211033397,1607.028,535.676023,"demand point",4
"PID.4000019",-112.088481184,33.4452703803,1607.028,535.676023,"demand point",4
"PID.4000020",-112.078751458,33.4879383227,1607.028,535.676023,"demand point",4
"PID.4000021",-112.082333739,33.4219621295,1607.028,535.676023,"demand point",4
"PID.4000022",-111.581359481,33.4054256242,1607.028,535.676023,"demand point",4
"PID.4000023",-112.061644155,33.4935805339,1607.028,535.676023,"demand point",4
"PID.4000024",-112.182451453,33.5405178716,1607.028,535.676023,"demand point",4
"PID.4000025",-112.221355949,33.4787894924,1607.028,535.676023,"demand point",4
"PID.4000026",-112.340476315,33.4437560163,1607.028,535.676023,"demand point",4
"PID.4000027",-112.091460238,33.4543534362,1607.028,535.676023,"demand point",4
"PID.4000028",-112.151882514,33.4549329528,1607.028,535.676023,"demand point",4
"PID.4000029",-112.138776843,33.4695751765,1607.028,535.676023,"demand point",4
"PID.4000030",-111.987143877,33.4483062358,1607.028,535.676023,"demand point",4
"PID.4000031",-112.160722252,33.3774756146,1607.028,535.676023,"demand point",4
"PID.4000032",-111.939982805,33.3925320717,1607.028,535.676023,"demand point",4
"PID.4000033",-112.098574274,33.5388239806,1607.028,535.676023,"demand point",4
"PID.4000034",-112.113093411,33.4711830091,1607.028,535.676023,"demand point",4
"PID.4000035",-111.771925308,33.4239902286,1607.028,535.676023,"demand point",4
"PID.4000036",-112.117067944,33.4839186308,1607.028,535.676023,"demand point",4
"PID.4000037",-112.169589096,33.466370207,1607.028,535.676023,"demand point",4
"PID.4000038",-112.169089045,33.3792646742,1607.028,535.676023,"demand point",4
"PID.4000039",-112.004220157,33.4804599931,1607.028,535.676023,"demand point",4
"PID.4000040",-111.838861983,33.4246539313,1607.028,535.676023,"demand point",4
"PID.4000041",-112.119077073,33.6113460708,1607.028,535.676023,"demand point",4
"PID.4000042",-111.838063516,33.415405337,1607.028,535.676023,"demand point",4
"PID.4000043",-111.98001161,33.4647085191,1607.028,535.676023,"demand point",4
"PID.4000044",-112.272032373,33.5974804022,1607.028,535.676023,"demand point",4
"PID.4000045",-112.101759765,33.5380102234,1607.028,535.676023,"demand point",4
"PID.4000046",-112.116852239,33.5819738671,1607.028,535.676023,"demand point",4
"PID.4000047",-112.168809556,33.4677536902,1607.028,535.676023,"demand point",4
"PID.4000048",-112.084898457,33.4953012122,1607.028,535.676023,"demand point",4
"PID.4000049",-112.119677739,33.4859880873,1607.028,535.676023,"demand point",4
"PID.4000050",-112.117116522,33.473322375,1607.028,535.676023,"demand point",4
"PID.4000051",-112.060146587,33.406442539,1607.028,535.676023,"demand point",4
"PID.4000052",-112.237669273,33.5223388243,1607.028,535.676023,"demand point",4
"PID.4000053",-112.315138446,33.4785983547,1607.028,535.676023,"demand point",4
"PID.4000054",-112.1176781,33.5565213857,1607.028,535.676023,"demand point",4
"PID.4000055",-111.833596322,33.407554758,1607.028,535.676023,"demand point",4
"PID.4000056",-111.958647707,33.3506445977,1607.028,535.676023,"demand point",4
"PID.4000057",-112.134116411,33.581961243,1607.028,535.676023,"demand point",4
"PID.4000058",-112.20298811,33.445939625,1607.028,535.676023,"demand point",4
"PID.4000059",-112.106275409,33.4964158466,1607.028,535.676023,"demand point",4
"PID.4000060",-112.0881488,33.4460633121,1607.028,535.676023,"demand point",4
"PID.4000061",-112.086554955,33.4453436121,1607.028,535.676023,"demand point",4
"PID.4000062",-111.924834186,33.4919440938,1607.028,535.676023,"demand point",4
"PID.4000063",-112.074262047,33.4532082189,1607.028,535.676023,"demand point",4
"PID.4000064",-112.080514133,33.462323323,1607.028,535.676023,"demand point",4
"PID.4000065",-111.975031897,33.3147864051,1607.028,535.676023,"demand point",4
"PID.4000066",-111.821345964,33.4237761,1607.028,535.676023,"demand point",4
"PID.4000067",-112.135101772,33.5672550638,1607.028,535.676023,"demand point",4
"PID.4000068",-112.108506376,33.4950328021,1607.028,535.676023,"demand point",4
"PID.4000069",-112.152592127,33.5364633659,1607.028,535.676023,"demand point",4
"PID.4000070",-112.120193606,33.5988014651,1607.028,535.676023,"demand point",4
"PID.4000071",-111.960274864,33.3674671901,1607.028,535.676023,"demand point",4
"PID.4000072",-111.906557455,33.3926635374,1607.028,535.676023,"demand point",4
"PID.4000073",-112.138758115,33.3765898119,1607.028,535.676023,"demand point",4
"PID.4000074",-112.298551406,33.5078206458,1607.028,535.676023,"demand point",4
"PID.4000075",-112.047614419,33.4071708318,1607.028,535.676023,"demand point",4
"PID.4000076",-112.111473478,33.5345022531,1607.028,535.676023,"demand point",4
"PID.4000077",-112.577785836,33.3695660472,1607.028,535.676023,"demand point",4
"PID.4000078",-112.134340729,33.5385403201,1607.028,535.676023,"demand point",4
"PID.4000079",-112.094809223,33.4505066834,1607.028,535.676023,"demand point",4
"PID.4000080",-112.070436338,33.6415251101,1607.028,535.676023,"demand point",4
"PID.4000081",-112.065152987,33.4814702628,1607.028,535.676023,"demand point",4
"PID.4000082",-112.170559068,33.3989686948,1607.028,535.676023,"demand point",4
"PID.4000083",-112.081530375,33.5772103562,1607.028,535.676023,"demand point",4
"PID.4000084",-112.118200408,33.5880300291,1607.028,535.676023,"demand point",4
"PID.4000085",-112.072568954,33.4493214431,1607.028,535.676023,"demand point",4
"PID.4000086",-112.088115089,33.4460085371,1607.028,535.676023,"demand point",4
"PID.4000087",-112.272470792,33.5443819252,1607.028,535.676023,"demand point",4
"PID.4000088",-111.930474759,33.4380014075,1607.028,535.676023,"demand point",4
"PID.4000089",-111.879924675,33.3721846485,1607.028,535.676023,"demand point",4
"PID.4000090",-112.098058002,33.6556415331,1607.028,535.676023,"demand point",4
"PID.4000091",-112.091631816,33.4561727987,1607.028,535.676023,"demand point",4
"PID.4000092",-111.966100734,33.361313908,1607.028,535.676023,"demand point",4
"PID.4000093",-112.081982564,33.6485566323,1607.028,535.676023,"demand point",4
"PID.4000094",-111.832267561,33.3589016225,1607.028,535.676023,"demand point",4
"PID.4000095",-111.897428585,33.4294108108,1607.028,535.676023,"demand point",4
"PID.4000096",-112.136200106,33.4872435823,1607.028,535.676023,"demand point",4
"PID.4000097",-112.106137282,33.43157078,1607.028,535.676023,"demand point",4
"PID.4000098",-111.641120364,33.4347452952,1607.028,535.676023,"demand point",4
"PID.4000099",-112.154669673,33.4732825648,1607.028,535.676023,"demand point",4
"PID.4000100",-112.107042686,33.6108618494,1607.028,535.676023,"demand point",4
"PID.4000101",-111.966338872,33.3727273672,1607.028,535.676023,"demand point",4
"PID.4000102",-112.088481184,33.4452703803,1607.028,535.676023,"demand point",4
"PID.4000103",-112.340463638,33.4610786816,1607.028,535.676023,"demand point",4
"PID.4000104",-112.308051494,33.5962855896,1607.028,535.676023,"demand point",4
"PID.4000105",-112.026953117,33.4107646248,1607.028,535.676023,"demand point",4
"PID.4000106",-112.116477149,33.4996767884,1607.028,535.676023,"demand point",4
"PID.4000107",-112.09762581,33.6229848191,1607.028,535.676023,"demand point",4
"PID.4000108",-112.077112374,33.4485077635,1607.028,535.676023,"demand point",4
"PID.4000109",-111.899389981,33.4942872202,1607.028,535.676023,"demand point",4
"PID.4000110",-112.169452118,33.4808519134,1607.028,535.676023,"demand point",4
"PID.4000111",-111.908319812,33.4799431069,1607.028,535.676023,"demand point",4
"PID.4000112",-112.099890892,33.509625557,1607.028,535.676023,"demand point",4
"PID.4000113",-112.128405787,33.441564139,1607.028,535.676023,"demand point",4
"PID.4000114",-111.964425466,33.3830974189,1607.028,535.676023,"demand point",4
"PID.4000115",-112.094999197,33.5826075299,1607.028,535.676023,"demand point",4
"PID.4000116",-112.085225246,33.44458926,1607.028,535.676023,"demand point",4
"PID.4000117",-112.162120681,33.6138952902,1607.028,535.676023,"demand point",4
"PID.4000118",-112.114934528,33.4515604613,1607.028,535.676023,"demand point",4
"PID.4000119",-112.094833693,33.4522531214,1607.028,535.676023,"demand point",4
"PID.4000120",-112.065212576,33.4599644729,1607.028,535.676023,"demand point",4
"PID.4000121",-112.064986528,33.6381210991,1607.028,535.676023,"demand point",4
"PID.4000122",-112.088133718,33.4481762803,1607.028,535.676023,"demand point",4
"PID.4000123",-112.117894425,33.4798917323,1607.028,535.676023,"demand point",4
"PID.4000124",-112.037938265,33.5968614829,1607.028,535.676023,"demand point",4
"PID.4000125",-112.090805889,33.58255258,1607.028,535.676023,"demand point",4
