"id","longitude","latitude","type"
"FaID.0001",-112.086129101,33.4467606642,"existing cooling center"
"FaID.0002",-112.11962756,33.5782337652,"existing cooling center"
"FaID.0003",-112.074640524,33.3925232474,"existing cooling center"
"FaID.0004",-112.086535874,33.4447648065,"existing cooling center"
"FaID.0005",-112.352628248,33.4359869018,"existing cooling center"
"FaID.0006",-112.069995527,33.4609194612,"existing cooling center"
"FaID.0007",-112.07318555,33.4628166234,"existing cooling center"
"FaID.0009",-111.839811478,33.3030662517,"existing cooling center"
"FaID.0010",-112.080110389,33.435756146,"existing cooling center"
"FaID.0011",-112.052463344,33.4063788297,"existing cooling center"
"FaID.0012",-111.9361246,33.3998259458,"existing cooling center"
"FaID.0019",-112.043411313,33.5059622656,"existing cooling center"
"FaID.0020",-112.098478677,33.654270296,"existing cooling center"
"FaID.0021",-112.180060177,33.6593872765,"existing cooling center"
"FaID.0022",-112.269245405,33.6753603322,"existing cooling center"
"FaID.0024",-112.51749403,33.4344970742,"existing cooling center"
"FaID.0025",-111.837792193,33.303421268,"existing cooling center"
"FaID.0026",-112.088515351,33.4454467598,"existing cooling center"
"FaID.0028",-112.139523025,33.6995334152,"existing cooling center"
"FaID.0029",-111.825727849,33.4248581694,"existing cooling center"
"FaID.0030",-112.029472287,33.4606307485,"existing cooling center"
"FaID.0032",-112.024288797,33.4506844866,"existing cooling center"
"FaID.0033",-111.982928407,33.4787500385,"existing cooling center"
"FaID.0034",-111.992264779,33.754464526,"existing cooling center"
"FaID.0035",-112.1252156,33.4515388505,"existing cooling center"
"FaID.0036",-112.583189381,33.3728270056,"existing cooling center"
"FaID.0037",-112.112475106,33.485769626,"existing cooling center"
"FaID.0038",-112.127997556,33.4901694132,"existing cooling center"
"FaID.0039",-112.06823382,33.4945497155,"existing cooling center"
"FaID.0040",-111.843454254,33.2981163603,"existing cooling center"
"FaID.0041",-112.073101244,33.4892887881,"existing cooling center"
"FaID.0042",-112.138313662,33.3771200705,"existing cooling center"
"FaID.0043",-111.921066095,33.4920275654,"existing cooling center"
"FaID.0044",-112.068965393,33.4932073949,"existing cooling center"
"FaID.0045",-111.770902996,33.2348356675,"existing cooling center"
"FaID.0046",-112.152286389,33.4918392128,"existing cooling center"
"FaID.0047",-111.989557058,33.3049227117,"existing cooling center"
"FaID.0048",-112.169843882,33.5004478047,"existing cooling center"
"FaID.0049",-111.983692175,33.6046882777,"existing cooling center"
"FaID.0050",-112.178917799,33.5382780631,"existing cooling center"
"FaID.0051",-112.17844557,33.6549317923,"existing cooling center"
"FaID.0052",-112.091589329,33.5199180505,"existing cooling center"
"FaID.0053",-112.18743432,33.5778618153,"existing cooling center"
"FaID.0054",-112.189396776,33.5794931021,"existing cooling center"
"FaID.0055",-112.189932043,33.5535773853,"existing cooling center"
"FaID.0057",-112.235913242,33.5251009944,"existing cooling center"
"FaID.0059",-112.078035283,33.4553018245,"existing cooling center"
"FaID.0061",-111.83358339,33.4075695996,"existing cooling center"
"FaID.0062",-112.18412556,33.539253633,"existing cooling center"
"FaID.0063",-112.031308337,33.3823714224,"existing cooling center"
"FaID.0066",-111.922336051,33.6951493123,"existing cooling center"
"FaID.0067",-112.063085324,33.5661721245,"existing cooling center"
"FaID.0068",-112.223608352,33.47393915,"existing cooling center"
"FaID.0069",-112.238935426,33.5790037219,"existing cooling center"
"FaID.0070",-112.241314629,33.5769606329,"existing cooling center"
"FaID.0071",-112.244815467,33.6147940587,"existing cooling center"
"FaID.0072",-112.060950329,33.4458799112,"existing cooling center"
"FaID.0073",-112.337358698,33.4389143271,"existing cooling center"
"FaID.0074",-111.806890181,33.4147767722,"existing cooling center"
"FaID.0075",-112.057412946,33.4467978806,"existing cooling center"
"FaID.0076",-112.073103436,33.4628134331,"existing cooling center"
"FaID.0077",-112.050372902,33.4634705367,"existing cooling center"
"FaID.0078",-112.070713606,33.4643315247,"existing cooling center"
"FaID.0079",-111.830638894,33.4125946648,"existing cooling center"
"FaID.0080",-111.829310127,33.3510686646,"existing cooling center"
"FaID.0081",-112.075533283,33.4529271057,"existing cooling center"
"FaID.0082",-112.116588423,33.5016669173,"existing cooling center"
"FaID.0083",-112.187627424,33.5288465527,"existing cooling center"
"FaID.0084",-112.167847566,33.5425680484,"existing cooling center"
"FaID.0085",-112.062452479,33.3926220704,"existing cooling center"
"FaID.0087",-111.839947515,33.2945630617,"existing cooling center"
"FaID.0088",-112.085676234,33.5722610317,"existing cooling center"
"FaID.0089",-112.08328214,33.4354573215,"existing cooling center"
